epoch, train loss, train strict eval, train soft eval, validate loss, validate strict eval, validate soft eval, test loss, test strict eval, test soft eval
-1, 0.0, 37.57254105704171, -7.862312440361295, 0.0, 43.258032150268555, 2.4549505710601807, 0.0, 33.07051080703735, -2.1781830191612244
0, 519.7484937395368, -19.324848824143412, -33.24627440316336, 527.7828979492188, -25.290357837677004, -30.40471076965332, 262.47231674194336, -8.818565023541451, -16.70778751373291
1, 542.7039751325335, -34.82185526209218, -34.3395916053227, 528.9256591796875, -1.4513253307342528, -28.468156814575195, 301.6396179199219, -9.289388173222541, -15.136973857879639
2, 525.2134791782925, -47.97086553812027, -31.92083283833095, 459.7317810058594, -3.0362294253706934, -22.854724884033203, 333.4228210449219, -8.838821890801192, -14.497029304504395
3, 522.5352805001395, -21.349092601537706, -30.06060402733939, 372.5218200683594, -2.7490660440921784, -16.65165901184082, 356.2828063964844, -9.391704060137272, -12.537925720214844
4, 470.7592457362584, -21.800092768328533, -26.331199135099137, 296.29107666015625, -3.404462468624115, -12.505797386169434, 356.36346435546875, -8.465963642522693, -10.46545696258545
5, 427.46272713797435, -23.157917224424228, -23.387180348592146, 251.31443786621094, 11.56428050994873, -9.451887130737305, 358.71405029296875, -4.052160958610474, -8.623522281646729
6, 379.6943163190569, -21.090200896944317, -20.98521786076682, 209.091064453125, 11.898533172607422, -6.998268127441406, 333.6325988769531, -3.9203893272578716, -7.428995132446289
7, 338.91441345214844, -17.13516457591738, -19.222087127821787, 197.21087646484375, 11.809822359085082, -5.362181186676025, 312.96026611328125, -4.224481639638543, -7.379168748855591
8, 322.0875004359654, -17.472660474521774, -17.958634512765066, 202.0471954345703, 11.505022277832031, -5.153076648712158, 301.9989318847656, -4.247770195007324, -7.35171103477478
9, 313.71422903878346, -17.666139914577027, -17.152017184666224, 209.13597106933594, 11.351886758804321, -4.90226936340332, 308.931884765625, -3.681263144761324, -7.3324010372161865
10, 316.51029532296315, -17.454674432788575, -16.863314901079452, 219.4243621826172, 11.514585080146789, -5.14780330657959, 325.0916748046875, -3.736633566319943, -7.254151344299316
11, 304.2094029017857, -15.437205262524742, -16.881041731153214, 204.09193420410156, 11.816137700080871, -4.856882095336914, 319.79319763183594, -4.293946822881698, -6.763979196548462
12, 291.2017310006278, -15.320688021183015, -16.544601236070907, 211.46304321289062, 11.904709692001342, -5.098625659942627, 315.4971466064453, -3.836283342689276, -6.6089394092559814
13, 284.8194830758231, -15.226358019922461, -16.397565024239675, 207.899169921875, 11.741754903793336, -5.4263200759887695, 303.33668518066406, -4.512116770446301, -6.2938573360443115
14, 257.49684143066406, -15.088714752197264, -15.888353143419538, 190.669189453125, 11.733677139282227, -5.354804992675781, 289.3514404296875, -3.669415221139789, -6.171197414398193
15, 245.07499803815568, -15.379968781641551, -15.605116094861712, 195.89614868164062, 11.800263662338256, -5.471345901489258, 283.33030700683594, -3.9637665158510207, -6.271941184997559
16, 240.77425711495536, -15.379020014192376, -15.448075022016253, 191.1831512451172, 11.834069061279298, -5.2251129150390625, 278.99851989746094, -4.231632818728686, -6.222186803817749
17, 231.40773119245256, -15.139525378772191, -15.624677794320244, 184.2923126220703, 11.331258115768433, -4.936594486236572, 287.89878845214844, -3.7819346646964553, -6.105999946594238
18, 226.17461504255022, -15.327738898651942, -15.638933045523506, 191.2082977294922, 11.167312831878663, -4.965065956115723, 305.6008605957031, -3.9808352357149124, -6.198717832565308
