epoch, train loss, train strict eval, train soft eval, validate loss, validate strict eval, validate soft eval, test loss, test strict eval, test soft eval
-1, 0.0, 34.754651625497004, -1.4643358758517675, 0.0, 43.72559532165528, 9.750739097595215, 0.0, 37.368045806884766, -1.1878158450126648
0, 410.8189501081194, 5.936798490669045, -18.35269216980253, 415.5184020996094, -28.80422466278076, -24.760725021362305, 286.43077850341797, 6.2026185926795, -15.184316635131836
1, 287.52369798932756, 1.3563351313769816, -15.07197503532682, 188.96090698242188, 0.025392636507749557, -14.212581634521484, 118.09016036987305, 6.4743768316507335, -9.975532531738281
2, 155.00901249476843, 2.0683287519456015, -9.579338141850062, 184.02432250976562, -0.5953180956840515, -11.339187622070312, 117.92370223999023, 7.133372711986303, -7.302161931991577
3, 117.3888909476144, 3.765453880599567, -7.091625988483429, 215.33602905273438, -0.5705767449736595, -12.631033897399902, 138.6207504272461, 7.265384001806378, -6.675068140029907
4, 95.97218922206334, 2.2876781461494318, -5.939712234905788, 211.08010864257812, -0.9183734887838364, -13.184274673461914, 145.08884048461914, 7.07023813791573, -6.867356777191162
5, 83.76637976510185, 0.7570403843266628, -5.374962031841278, 193.2146759033203, -15.50849220275879, -11.820145606994629, 146.82053756713867, 6.954141958653927, -7.225336074829102
6, 75.16083526611328, 7.348420100084373, -5.0291116407939365, 189.801025390625, -15.333135509490967, -11.4609956741333, 156.8449249267578, 4.116547578573227, -7.776475667953491
7, 68.59888648986816, 7.202401694868293, -4.46150461265019, 194.74928283691406, -15.003963127136231, -11.656732559204102, 172.2751579284668, 4.1989501539617775, -8.42866039276123
8, 63.63008962358747, 12.903566077266422, -3.9858944160597667, 203.10955810546875, -19.267641201019288, -12.18463134765625, 186.41402053833008, 4.152492232769728, -8.91861343383789
9, 58.99358640398298, 15.100557420179246, -3.9152722720588957, 210.88685607910156, -18.940770664215087, -12.411498069763184, 195.27631378173828, 3.9368902504444123, -9.275447368621826
10, 54.24846758161272, 10.928341970060554, -3.554169461131096, 217.51991271972656, -19.598600673675538, -12.498453140258789, 203.6102752685547, -2.1016427445411683, -9.642093181610107
11, 49.38822719029018, 16.92443755608052, -3.0376808047294617, 225.0869140625, -19.32815107345581, -12.248788833618164, 213.85878372192383, -2.1040167552232742, -9.962218284606934
12, 45.68971960885184, 16.7634577194282, -2.6678241044282913, 235.90249633789062, -19.621868724823, -12.654644012451172, 222.65155792236328, -10.398264775276184, -10.181302547454834
13, 42.7981322152274, 16.35208451262542, -2.24155787059239, 246.90374755859375, -18.386091423034667, -13.182292938232422, 231.8506088256836, -10.214361431598665, -10.310802459716797
14, 39.142752511160715, 20.39113071032933, -2.1770687805754796, 252.48049926757812, -19.56999864578247, -13.175267219543457, 239.2684783935547, -10.997997136116028, -10.24419355392456
15, 36.41786629813058, 20.750908736160824, -1.8034696962152208, 260.38665771484375, -18.899011154174804, -13.306795120239258, 245.7321662902832, -10.19890486240387, -10.464285373687744
16, 33.547281810215544, 20.819055163179122, -2.0059835399900163, 267.21783447265625, -19.315618267059325, -13.308158874511719, 251.42877960205078, -10.342004768848419, -10.493660926818848
17, 31.21048981802804, 20.51178748914174, -0.962336791413171, 250.98211669921875, -18.906554203033448, -13.81865406036377, 254.32199478149414, -9.927846775054931, -10.553242683410645
18, 28.807251249040878, 18.782790189853735, -1.7551921329327993, 246.00442504882812, -19.706111431121826, -13.192267417907715, 253.96530151367188, -9.702744714319705, -10.33933162689209
19, 26.570924486432755, 22.79839674609048, -0.7295584763799395, 232.03443908691406, -19.424070758819582, -13.846303939819336, 257.46849822998047, -9.759733090996741, -10.548200130462646
20, 25.22840690612793, 22.159029609560967, -1.3972114494868688, 236.9443359375, -18.90202756881714, -13.20611572265625, 260.0374183654785, -9.404356941767036, -10.330195426940918
21, 22.569570813860214, 24.032124968937467, -1.0548191581453596, 220.30189514160156, -18.6741485786438, -13.211115837097168, 260.9067268371582, -9.923399622365832, -10.316381931304932
22, 21.108699253627233, 22.541811750956942, -1.6340677227292741, 231.94410705566406, -18.665797271728515, -12.438455581665039, 264.2468147277832, -9.38924170151353, -10.285284280776978
23, 19.945188522338867, 24.202899672644474, -0.6893875896930695, 231.5293426513672, -19.39156436920166, -12.843937873840332, 268.1694984436035, -9.475252327173948, -10.313289165496826
24, 19.835773740495956, 23.12558695461069, -1.3553277935300554, 218.5587921142578, -19.363840713500977, -11.823724746704102, 270.1759834289551, -9.4594156691432, -10.12792181968689
25, 18.368861607142858, 22.83536188083036, -0.45427497795649935, 206.23001098632812, -19.327025642395018, -12.055888175964355, 272.3947410583496, -9.482269288897514, -10.068445444107056
26, 17.031226566859655, 22.95276221854346, -1.0089037929262434, 195.90292358398438, -18.760506858825682, -11.60225772857666, 272.48208236694336, -9.147614924162626, -10.201544046401978
27, 15.94049344744001, 22.821014084241217, -0.6454362528664725, 196.10726928710938, -18.681440296173097, -11.265146255493164, 283.8912162780762, -8.832089732885361, -10.263290405273438
28, 16.76367732456752, 27.905696945190435, -1.1597715616226196, 208.416259765625, -19.762331085205076, -11.17446231842041, 280.5450439453125, -9.44581742450595, -10.284754276275635
29, 15.937867028372628, 25.5966337285723, -0.4376163567815508, 183.10992431640625, -18.600971546173096, -11.119826316833496, 279.3686332702637, -9.621347230821847, -10.155216455459595
30, 14.641291209629603, 27.92067817687988, -0.7920206359454564, 191.7626953125, -18.846729736328125, -10.798497200012207, 277.43198013305664, -9.380900304466486, -10.213810443878174
31, 16.80134173801967, 23.892417838339295, -0.333939471415111, 179.81689453125, -19.28333106994629, -10.870763778686523, 285.3393211364746, -9.337654736787082, -10.184035778045654
32, 13.5040465763637, 27.734199605669293, -0.8887787716729301, 194.9930877685547, -18.435885219573976, -10.375409126281738, 287.02173614501953, -9.403197578638792, -10.25526475906372
33, 14.37469972882952, 22.82307888712202, -0.39205879824502127, 178.5921173095703, -19.54911521911621, -10.382655143737793, 288.8960151672363, -8.991497831717133, -10.194231986999512
34, 13.410419736589704, 29.64612722124372, -0.8620906897953579, 191.85252380371094, -18.772524223327636, -10.332395553588867, 289.6397819519043, -9.045388807877899, -10.24142050743103
35, 14.047140393938337, 28.045527730669296, -0.2321857213973999, 190.1437530517578, -19.516161041259764, -10.203953742980957, 300.3109550476074, -9.264845659136773, -10.246793508529663
36, 13.449010304042272, 29.43123982020787, -0.7438234346253532, 196.8817596435547, -18.884471340179445, -9.901455879211426, 295.3935432434082, -8.523796967044472, -10.261051654815674
37, 13.80161612374442, 30.735260415758408, -0.027971829686846052, 182.450439453125, -18.78308349609375, -10.02576732635498, 300.33908462524414, -9.568533565849066, -10.204339265823364
38, 12.524351392473493, 29.76687423161098, -0.7234855230365481, 193.3046875, -18.615514278411865, -9.841618537902832, 300.2132682800293, -9.185053867697716, -10.265327453613281
39, 12.906796046665736, 30.819991806575235, -0.1575514248439244, 172.08926391601562, -19.920306930541994, -9.605682373046875, 306.24110412597656, -9.57482131294906, -10.245428562164307
40, 11.942780358450753, 30.20135377066476, -0.607482522726059, 188.76121520996094, -18.949116439819335, -9.47011661529541, 304.9411964416504, -9.834761676229537, -10.301676750183105
