epoch, train loss, train strict eval, train soft eval, validate loss, validate strict eval, validate soft eval, test loss, test strict eval, test soft eval
-1, 0.0, 12.465714285714286, 6.087907178061349, 0.0, 12.08, 5.91495943069458, 0.0, 11.41, 6.81484842300415
0, 3.015183857509068, -3.3628571428571425, 4.236007758549282, 2.4202017784118652, -5.42, 3.666581153869629, 2.4212100505828857, 2.32, 4.126074552536011
1, 2.939376558576311, -5.0457142857142845, 4.071198974336896, 2.3094019889831543, -10.62, 5.114130973815918, 2.2237255573272705, 1.7, 3.909355044364929
2, 2.6473888669695174, -8.662857142857144, 3.7670508793422153, 2.229048252105713, -1.62, 2.4853525161743164, 2.1403024196624756, -0.71, 4.348825097084045
3, 2.56424195425851, -2.8, 3.74712804385594, 2.1919121742248535, -7.4, 3.7312750816345215, 2.1513617038726807, -6.609999999999999, 4.656733274459839
4, 2.5300115857805525, -5.314285714285714, 4.321495601109096, 2.130354404449463, -4.4, 3.527298927307129, 2.1157658100128174, 8.59, 4.023731470108032
5, 2.3958753858293806, -4.425714285714285, 4.3061948503766745, 2.035581111907959, -2.98, 3.9714162349700928, 1.9657084941864014, 5.53, 4.189406752586365
6, 2.258091245378767, -7.742857142857143, 4.503605944769723, 1.9900250434875488, 2.1, 3.86942195892334, 1.8460490703582764, -2.65, 3.433943748474121
7, 2.1596611567905972, -2.6685714285714286, 4.516027620860508, 1.9384493827819824, -3.46, 2.487013816833496, 1.7288906574249268, -4.2700000000000005, 4.858755350112915
8, 2.079756191798619, -1.817142857142857, 4.576254367828369, 1.8867754936218262, -7.7, 3.150531053543091, 1.6551249027252197, -3.31, 4.110968112945557
9, 2.042720522199358, -6.062857142857142, 4.261479650224958, 1.8743491172790527, -0.38, 3.074448823928833, 1.6418001651763916, -1.3000000000000003, 4.088039755821228
10, 2.03888007572719, -1.5114285714285711, 4.818746600832258, 1.871654987335205, -13.54, 3.7432572841644287, 1.6318228244781494, 10.11, 4.352685928344727
11, 2.019636971609933, -3.974285714285714, 4.622354507446289, 1.8669438362121582, -2.92, 2.902550220489502, 1.6056063175201416, 5.17, 4.746559381484985
12, 2.016417912074498, -2.025714285714286, 4.736415556498936, 1.8662705421447754, -1.78, 2.198711395263672, 1.5985562801361084, 0.06999999999999984, 4.969608306884766
13, 2.0206008638654436, -2.262857142857143, 4.726083483014788, 1.8690581321716309, -6.28, 2.641129970550537, 1.5969088077545166, -0.14, 4.7381064891815186
14, 2.024821008954729, -0.2914285714285712, 4.43964409828186, 1.8719792366027832, -1.94, 3.089186191558838, 1.600848913192749, 4.7, 3.6511240005493164
15, 2.0354345866612027, -1.5, 4.946355070386614, 1.864107608795166, -4.6, 2.0173325538635254, 1.6055986881256104, 4.46, 4.916921973228455
16, 2.040380205426897, -0.9628571428571429, 4.694188015801566, 1.8600659370422363, -1.26, 2.9362645149230957, 1.6027047634124756, -2.4, 5.260530948638916
17, 2.048351424080985, -2.994285714285714, 5.17876843043736, 1.834580898284912, -2.46, 2.9747443199157715, 1.59609055519104, 4.02, 5.065994739532471
18, 2.0485173634120395, -0.5885714285714287, 5.231600454875401, 1.810035228729248, -7.24, 1.7410080432891846, 1.5910851955413818, 3.5, 4.752718210220337
19, 2.0470264979771207, 0.7685714285714285, 5.276153360094343, 1.792783260345459, -7.06, 1.938560962677002, 1.5895826816558838, 4.82, 4.686453104019165
20, 2.042366164071219, -0.06857142857142841, 5.155997242246356, 1.8012137413024902, -1.9, 3.8577048778533936, 1.588594675064087, -2.2399999999999998, 4.795926213264465
21, 2.04841981615339, -3.008571428571429, 5.185164383479527, 1.794328212738037, -10.14, 3.411403179168701, 1.5933797359466553, 6.63, 4.832575798034668
22, 2.0547219685145786, -0.5057142857142859, 5.113305364336286, 1.8208880424499512, -9.94, 2.8217711448669434, 1.5955984592437744, 3.46, 5.220057487487793
23, 2.0596769877842496, -1.9342857142857142, 5.296153102602277, 1.8469090461730957, 6.12, 4.317002773284912, 1.59602952003479, 0.6099999999999999, 4.3560144901275635
24, 2.054598808288574, -0.36000000000000004, 5.25714465550014, 1.859818935394287, -1.36, 4.913191795349121, 1.600290060043335, 0.8999999999999999, 4.6360023021698
25, 2.0449585233415877, -2.257142857142857, 5.3314133031027655, 1.850135326385498, -0.86, 1.7644193172454834, 1.6064722537994385, -2.4, 4.654475927352905
26, 2.0264393942696706, -4.102857142857142, 5.555920737130301, 1.8413119316101074, -7.28, 5.003355503082275, 1.6114695072174072, -2.1599999999999997, 4.774677276611328
27, 2.009528568812779, 0.07142857142857137, 5.523747205734253, 1.814711093902588, -1.96, 4.3427414894104, 1.6119201183319092, 4.26, 4.795085668563843
28, 2.000314848763602, 2.1228571428571428, 5.3943654128483365, 1.8005833625793457, -3.7, 4.552456378936768, 1.6092016696929932, 4.38, 4.934577465057373
29, 1.974975313459124, -2.54, 5.3935257366725375, 1.7881731986999512, -9.08, 3.8938143253326416, 1.607431173324585, -3.2299999999999995, 4.838802218437195
30, 1.9508056640625, -1.0742857142857143, 5.551380974905832, 1.7498230934143066, -5.42, 2.922234296798706, 1.5903551578521729, 9.59, 4.836872458457947
31, 1.906836918422154, 2.711428571428571, 5.300872870853969, 1.704775333404541, 0.54, 4.173464775085449, 1.5795114040374756, -0.019999999999999574, 5.289763450622559
32, 1.8517834799630302, 1.7314285714285715, 5.449974196297782, 1.6848244667053223, 4.8, 4.109662055969238, 1.564032793045044, 8.89, 5.591909408569336
33, 1.7898644038609095, 3.9457142857142857, 5.471065861838205, 1.8302817344665527, 3.48, 3.053469657897949, 1.5892055034637451, 2.9499999999999997, 5.22927713394165
34, 1.7645936693464006, 1.285714285714286, 5.677253144127982, 1.8446335792541504, 3.06, 2.7794761657714844, 1.6439363956451416, 0.77, 4.713587045669556
35, 1.717414311000279, 0.42571428571428577, 5.510293926511492, 1.7979636192321777, 8.6, 2.6884567737579346, 1.6507933139801025, 2.12, 4.532862901687622
36, 1.6838151386805944, 0.7742857142857142, 5.942441122872489, 1.7671704292297363, 3.76, 2.6776134967803955, 1.6413371562957764, -1.29, 4.452690601348877
37, 1.7053636823381697, 0.42857142857142844, 5.755184173583984, 1.767686367034912, 0.94, 4.125860691070557, 1.6005337238311768, 6.27, 4.792437314987183
38, 1.7645183290754045, 1.3885714285714283, 5.717574732644217, 1.8024001121520996, 2.24, 2.5111818313598633, 1.5625650882720947, 6.640000000000001, 4.999966740608215
39, 1.8107615879603796, 1.3114285714285714, 5.738537039075579, 1.8338284492492676, -1.28, 3.3659257888793945, 1.5537350177764893, -0.7199999999999998, 4.6147578954696655
40, 1.810311998639788, -1.7742857142857142, 5.954363073621478, 1.862658977508545, -1.26, 4.2854743003845215, 1.5307042598724365, 6.4799999999999995, 5.023849844932556
41, 1.805030414036342, 0.47428571428571414, 6.050591400691441, 1.866126537322998, -3.26, 3.408477783203125, 1.5410468578338623, 6.17, 5.065210223197937
42, 1.807002340044294, 0.62, 5.983352865491595, 1.8640799522399902, 1.22, 4.430861949920654, 1.5404975414276123, 1.0500000000000003, 5.1446874141693115
43, 1.7595976420811243, 0.6457142857142858, 5.485932929175241, 1.854811191558838, 5.18, 3.062004566192627, 1.547210454940796, 0.8600000000000003, 5.658315181732178
44, 1.7008280072893416, 1.9085714285714286, 5.789107186453683, 1.8492255210876465, 1.94, 5.952959060668945, 1.5610458850860596, 6.09, 5.018258094787598
45, 1.692347526550293, 0.3114285714285714, 5.818217209407261, 1.835421085357666, 4.94, 3.2557523250579834, 1.5563108921051025, 2.7800000000000002, 4.666701555252075
46, 1.7665236336844308, 2.891428571428572, 5.764257328850882, 1.713829517364502, 7.9, 3.8738865852355957, 1.5314056873321533, 6.62, 5.89543080329895
47, 1.8441337857927596, 0.3314285714285716, 5.9765777587890625, 1.634814739227295, 0.88, 2.8317337036132812, 1.5302021503448486, 1.49, 5.128883481025696
48, 1.903465679713658, 0.9400000000000003, 5.745602335248675, 1.580054759979248, 2.3, 1.835106611251831, 1.533707857131958, 2.84, 4.65557861328125
49, 1.911233901977539, 2.974285714285714, 5.800558703286307, 1.5484108924865723, -6.76, 4.662755966186523, 1.537623643875122, 5.6, 5.610592842102051
50, 1.9096260070800781, 3.5714285714285716, 6.100788150514875, 1.5639233589172363, -0.54, 4.891648769378662, 1.526399850845337, 2.04, 5.045152187347412
51, 1.8562872750418526, 1.768571428571429, 5.807828222002302, 1.570788860321045, -2.06, 6.133882522583008, 1.4962828159332275, -0.79, 5.645886421203613
52, 1.7792198998587472, 3.1999999999999997, 5.820056710924421, 1.5533032417297363, 1.62, 3.8806796073913574, 1.4916698932647705, 4.510000000000001, 4.803928017616272
53, 1.7169741221836634, 2.111428571428571, 6.076633453369141, 1.5614314079284668, -0.52, 4.355371475219727, 1.494811773300171, 3.33, 5.075541734695435
54, 1.6643217631748743, 1.28, 5.976685115269253, 1.5794129371643066, -1.86, 5.795759201049805, 1.493406057357788, 3.7, 5.873912334442139
55, 1.6753786631992884, 0.4657142857142857, 5.933520657675607, 1.5594897270202637, 3.54, 5.010829925537109, 1.5054514408111572, 4.48, 5.372718334197998
56, 1.6958152226039342, 1.2771428571428571, 5.877628735133579, 1.5425209999084473, -2.2, 5.605930805206299, 1.5115735530853271, 0.9199999999999999, 4.8187127113342285
57, 1.6502550670078822, 2.7199999999999998, 5.960320881434849, 1.4807696342468262, 2.48, 5.8422088623046875, 1.4874632358551025, 1.7599999999999998, 5.327551484107971
58, 1.5274741309029716, 4.2057142857142855, 6.249997683933803, 1.404477596282959, 0.62, 5.736323833465576, 1.4601595401763916, 0.42999999999999994, 4.84721827507019
59, 1.4038265773228236, 6.1085714285714285, 5.57406531061445, 1.3621611595153809, 6.52, 6.433987140655518, 1.4609978199005127, 4.21, 5.413052320480347
60, 1.3661353247506278, 2.6714285714285717, 5.893685647419521, 1.3187041282653809, 6.42, 6.184783935546875, 1.4679863452911377, 4.6000000000000005, 6.22246241569519
61, 1.3355812345232283, 3.48, 5.977781295776367, 1.206799030303955, 8.22, 6.377033710479736, 1.4820783138275146, -1.3, 5.6668243408203125
62, 1.2519317354474748, 5.788571428571429, 6.095665795462472, 1.0838828086853027, 4.08, 6.442775726318359, 1.4813973903656006, 9.75, 5.886660099029541
63, 1.1234372683933802, 5.748571428571429, 6.051995004926409, 1.0558524131774902, 5.48, 5.294713020324707, 1.5125129222869873, 6.15, 5.241939306259155
64, 1.0467953000749861, 7.528571428571429, 5.8450590542384555, 1.1294960975646973, 8.26, 6.0655035972595215, 1.5580151081085205, 7.09, 4.686811923980713
65, 1.0259577887398856, 6.305714285714286, 6.2394320624215265, 1.189669132232666, 8.98, 5.881344795227051, 1.583458662033081, 4.9, 4.750662088394165
66, 1.0372764042445592, 7.522857142857142, 5.994936534336635, 1.1798853874206543, 11.3, 6.693511486053467, 1.6035501956939697, 7.72, 4.114306807518005
67, 1.0606161526271276, 7.348571428571428, 6.1052744047982355, 1.1737608909606934, 9.66, 6.048586845397949, 1.6223938465118408, 6.03, 5.349694490432739
68, 1.0132746696472168, 6.171428571428572, 6.1118059158325195, 1.263197422027588, 6.02, 6.00966739654541, 1.6687309741973877, 7.550000000000001, 3.9645450115203857
69, 0.9311696461268834, 6.3428571428571425, 5.898335184369769, 1.4178128242492676, 8.98, 6.582272052764893, 1.7443950176239014, 7.32, 4.056250333786011
70, 0.9008087430681501, 8.668571428571427, 6.100884914398193, 1.6573996543884277, 7.88, 6.206403732299805, 1.7778799533843994, 8.38, 3.9515568017959595
71, 0.903463431767055, 5.791428571428571, 5.698259217398507, 1.7575774192810059, 8.34, 5.992238521575928, 1.7799594402313232, 8.4, 5.005690097808838
72, 0.8893445559910366, 8.697142857142856, 5.645669800894601, 1.7638087272644043, 8.38, 6.094241619110107, 1.7544410228729248, 11.16, 4.29586935043335
73, 0.8585464613778251, 7.031428571428571, 5.680436202457973, 1.9623112678527832, 8.04, 5.30043363571167, 1.752368688583374, 5.800000000000001, 4.1687411069869995
74, 0.8769872529166085, 8.06857142857143, 5.413512161799839, 1.9888052940368652, 7.18, 5.319001197814941, 1.7998368740081787, 7.98, 3.7863436937332153
75, 0.88527740750994, 10.054285714285713, 5.306645938328335, 1.989224910736084, 8.46, 5.616633892059326, 1.8004405498504639, 7.6899999999999995, 4.229316592216492
76, 0.8782002585274833, 8.425714285714287, 5.703975200653076, 1.86259126663208, 7.12, 5.673294544219971, 1.8103768825531006, 6.58, 5.223522067070007
77, 0.8408638409205845, 8.694285714285714, 5.0242573874337335, 1.7395014762878418, 8.98, 6.779740333557129, 1.675321340560913, 10.17, 4.1761322021484375
78, 0.8223027501787458, 5.954285714285715, 5.485578196389334, 1.6873278617858887, 8.24, 6.833816051483154, 1.5518286228179932, 7.96, 4.801882743835449
79, 0.8264361109052386, 7.848571428571428, 5.545941489083426, 1.579017162322998, 6.4, 6.932920932769775, 1.5421345233917236, 8.36, 5.099600791931152
80, 0.839087690625872, 5.134285714285714, 5.640751293727329, 1.4226412773132324, 7.78, 5.908944129943848, 1.5298168659210205, 7.87, 4.283985376358032
81, 0.8919416155133929, 7.142857142857143, 5.654557091849191, 1.161548137664795, 8.52, 5.845554828643799, 1.4036891460418701, 5.0, 4.10494077205658
82, 0.9120972497122628, 6.297142857142857, 5.800072261265346, 0.9559540748596191, 8.9, 6.022793769836426, 1.337878942489624, 6.540000000000001, 5.083434581756592
83, 0.8944784573146275, 7.297142857142858, 6.071674891880581, 0.8243165016174316, 8.56, 5.860414505004883, 1.355454683303833, 8.129999999999999, 4.569825649261475
84, 0.9214065415518624, 5.442857142857143, 6.149285861424038, 0.7854962348937988, 10.52, 5.910499095916748, 1.4009077548980713, 7.92, 4.317268252372742
85, 0.9451653616768974, 7.0857142857142845, 6.0702530315944125, 0.7559046745300293, 10.32, 5.567085266113281, 1.4221856594085693, 7.18, 4.352993369102478
86, 0.9210128102983747, 6.214285714285714, 6.0127780096871515, 0.7625279426574707, 12.9, 5.249307632446289, 1.4321424961090088, 9.81, 5.825560092926025
87, 0.9139671325683594, 5.517142857142858, 5.981440373829433, 0.7443423271179199, 8.28, 6.011340141296387, 1.4506199359893799, 8.690000000000001, 6.1266467571258545
