epoch, train loss, train strict eval, train soft eval, validate loss, validate strict eval, validate soft eval, test loss, test strict eval, test soft eval
-1, 0.0, 10.348571428571429, 5.353360499654498, 0.0, 12.18, 7.230699062347412, 0.0, 11.4, 4.333567917346954
0, 2.764552661350795, -4.854285714285715, 2.711422920227051, 1.7943854331970215, -10.5, 4.311283111572266, 4.157002925872803, -8.72, 1.4141486883163452
1, 2.711864743913923, -2.968571428571429, 2.2340867604528154, 1.7304091453552246, 6.22, 3.6033101081848145, 4.036645412445068, -11.370000000000001, 1.1440964937210083
2, 2.634613582066127, -5.1971428571428575, 2.4109552843230113, 1.7114357948303223, -0.26, 5.211341857910156, 3.981441020965576, -6.5, 1.2684029340744019
3, 2.6544220788138255, -4.3999999999999995, 2.5086272614342824, 1.7301278114318848, -6.96, 4.660225868225098, 3.9468650817871094, -9.08, 1.6650198698043823
4, 2.6858957835606168, -5.965714285714285, 1.5518277713230677, 1.792280673980713, -8.56, 4.234635829925537, 3.9781832695007324, -8.38, 1.1583592891693115
5, 2.7257353918892995, -6.819999999999999, 1.9411885397774833, 1.838243007659912, 0.56, 5.2711567878723145, 3.959707260131836, -6.83, 0.061905622482299805
6, 2.7840468542916432, -2.948571428571429, 2.340000331401825, 1.9406256675720215, 11.02, 4.4228973388671875, 4.050694465637207, -5.24, 0.8415174931287766
7, 2.9146013259887695, -9.297142857142857, 1.7194143533706665, 2.0602145195007324, 0.22, 4.0633978843688965, 4.220519542694092, -7.02, 1.0134599804878235
8, 2.9699111665998186, -5.797142857142857, 2.062825083732605, 2.0548605918884277, 8.64, 4.599658966064453, 4.214977264404297, -6.07, 1.648826539516449
9, 2.990372794015067, -5.594285714285715, 2.029069798333304, 2.059617519378662, -5.16, 5.8317413330078125, 4.283307075500488, -10.14, 2.04410383105278
10, 3.0425939559936523, -7.6257142857142854, 1.5060039928981237, 2.0987582206726074, -4.5, 4.065940856933594, 4.31517219543457, -8.29, 0.8356923758983612
11, 3.0776190076555525, -7.685714285714286, 1.7153803280421667, 2.1811013221740723, 12.64, 4.376595497131348, 4.249942302703857, -7.52, 1.2901844382286072
12, 3.178028242928641, -9.42, 1.8580804041453771, 2.3316454887390137, -8.68, 4.904080390930176, 4.262880325317383, -4.62, 0.754349410533905
13, 3.2829408645629883, -2.431428571428571, 1.4568874154772078, 2.4204936027526855, -7.34, 4.479939937591553, 4.2418928146362305, -7.01, 1.7677465379238129
14, 3.416156360081264, -4.111428571428571, 1.6260202271597726, 2.57420015335083, 6.68, 5.270215034484863, 4.1943206787109375, -10.09, 1.774302452802658
15, 3.6744997841971263, -6.70857142857143, 1.7206974966185433, 2.7572293281555176, -7.92, 5.244677543640137, 4.220602989196777, -11.41, 2.1612958014011383
16, 3.9296087537493025, -3.8142857142857145, 1.5958878483091081, 2.996903896331787, -3.96, 3.564342498779297, 4.409216403961182, -11.3, 1.272015929222107
17, 4.049565996442523, -8.937142857142858, 1.604521938732692, 2.8355002403259277, 1.1, 5.106515407562256, 4.30256462097168, -11.719999999999999, 0.9102261066436768
18, 3.605769566127232, -3.311428571428571, 1.8448206697191512, 2.435823917388916, 0.8, 5.437589168548584, 4.086836814880371, -6.89, 2.223318785429001
19, 3.4193639755249023, -6.799999999999999, 1.9799266968454634, 2.3477635383605957, -2.36, 5.610164165496826, 3.9127678871154785, -4.92, 2.0634573101997375
20, 3.3152002607073103, -4.725714285714285, 1.8150806767599923, 2.2962584495544434, -3.36, 4.650873184204102, 3.7546448707580566, -5.6, 2.348760336637497
21, 3.4704317365373885, -5.4885714285714275, 1.9608279296330042, 2.5878424644470215, 5.68, 5.320117950439453, 3.840836524963379, -10.83, 1.7567563354969025
22, 4.127182960510254, -5.437142857142859, 1.9926764283861433, 3.1043648719787598, -12.62, 3.8313114643096924, 3.970794677734375, -8.13, 1.8037336766719818
23, 4.230865887233189, -4.9799999999999995, 2.32669997215271, 2.8799901008605957, 5.9, 5.584277629852295, 3.8268728256225586, 1.17, 2.507230281829834
24, 3.847533634730748, -4.522857142857142, 2.635848726545061, 2.6803555488586426, 5.4, 5.243722438812256, 3.80092191696167, -1.24, 1.9642077088356018
25, 3.7304228373936246, -4.7057142857142855, 2.5591483456747874, 2.597987651824951, 5.46, 5.318830490112305, 3.8842577934265137, -7.82, 0.24690842628479004
26, 3.8437295641217912, -2.885714285714286, 2.217415460518428, 2.95143461227417, -0.48, 4.432047367095947, 4.156178951263428, -7.53, 0.0023009777069091797
