epoch, train loss, train strict eval, train soft eval, validate loss, validate strict eval, validate soft eval, test loss, test strict eval, test soft eval
-1, 0.0, 8.585714285714285, 4.520289020878928, 0.0, 9.52, 6.816794395446777, 0.0, 10.4, 5.479020118713379
0, 3.378122125353132, -6.491428571428571, 2.200752241270883, 3.302898406982422, -3.74, 1.9912912845611572, 3.848527431488037, -7.61, 1.4247865974903107
1, 3.4545482226780484, -3.937142857142857, 2.4687201976776123, 4.0503692626953125, -6.02, 1.5489704608917236, 4.116291046142578, -10.99, 1.5753536224365234
2, 3.902569157736642, -8.38857142857143, 2.044030453477587, 5.264345169067383, -6.98, 2.1260035037994385, 4.645346164703369, -7.6899999999999995, 1.0739092528820038
3, 4.336997100285122, -7.022857142857143, 2.3878564664295743, 6.0851945877075195, -7.82, 1.708418846130371, 4.959590435028076, -8.02, 1.3137935996055603
4, 4.690139021192278, -6.605714285714285, 2.4509570683751787, 7.153069496154785, -11.94, 1.4665433168411255, 5.329683303833008, -7.869999999999999, 1.470091998577118
5, 4.983146054404123, -5.565714285714286, 2.46711174930845, 7.409131050109863, -3.22, 2.5564513206481934, 5.394302845001221, -3.14, 1.3413894176483154
6, 5.188755239759173, -4.491428571428571, 1.9017117704663957, 7.757882118225098, -5.98, 3.1438002586364746, 5.57031774520874, -8.290000000000001, 1.9075836539268494
7, 5.431212765829904, -6.648571428571429, 2.3923771807125638, 7.388333320617676, -4.04, 2.286652088165283, 5.74569034576416, -4.67, 1.9587603211402893
8, 5.316406454358782, -5.714285714285714, 2.538151357855116, 6.391969680786133, -7.02, 2.1837503910064697, 5.416041851043701, -7.16, 1.5210801362991333
9, 4.918521404266357, -4.6571428571428575, 2.3303977080753873, 5.608214378356934, -4.3, 2.9368014335632324, 4.954967021942139, -6.58, 1.6487682461738586
10, 4.637413774217878, -6.031428571428571, 2.3402807201657976, 4.688864707946777, -5.4, 2.548949956893921, 4.46885347366333, -3.3899999999999997, 1.2594192624092102
11, 4.202701909201486, -5.922857142857143, 2.616529486009053, 4.16959285736084, -7.96, 2.873272657394409, 4.180708408355713, -1.95, 2.135691523551941
12, 3.8347934314182828, -5.305714285714286, 2.2919292705399648, 3.5872573852539062, 3.26, 2.7285799980163574, 3.9004459381103516, -4.74, 0.431492418050766
13, 3.442434651511056, -3.7914285714285714, 2.246056999479021, 3.273265838623047, -1.28, 2.0017614364624023, 3.671100616455078, -5.470000000000001, 1.022597074508667
14, 3.230646474020822, -5.625714285714286, 2.5786149161202565, 3.292567253112793, 6.18, 4.024779319763184, 3.628429412841797, -7.540000000000001, 0.9599584937095642
15, 3.081051622118269, -6.282857142857141, 2.353087459291731, 3.3320436477661133, -9.62, 3.5280940532684326, 3.3839235305786133, -2.2600000000000002, -0.026861220598220825
16, 2.9655652046203613, -1.9571428571428573, 2.5357171978269304, 3.600513458251953, -4.02, 2.414005994796753, 3.3432202339172363, -2.18, 0.09161505103111267
17, 2.9055974824087962, -6.974285714285715, 2.610063535826547, 4.04868221282959, -7.44, 3.4838664531707764, 3.535430431365967, -4.970000000000001, 1.0413702726364136
18, 2.9185333933149065, -4.8257142857142865, 2.6527698040008545, 4.756969451904297, 1.66, 3.576392889022827, 3.625746726989746, -5.800000000000001, 0.6809485256671906
19, 3.0302713257925853, -3.3971428571428572, 2.6884868485586986, 4.629097938537598, -0.06, 2.4950265884399414, 3.544046401977539, -2.74, 0.7865636050701141
20, 2.962581157684326, -6.191428571428571, 2.61574740920748, 3.715561866760254, 3.04, 3.778754711151123, 3.3759799003601074, -3.21, 0.4354356825351715
21, 2.7811992509024486, -6.774285714285715, 2.7736117158617293, 2.9814910888671875, -0.48, 3.8431527614593506, 3.181985855102539, -1.8800000000000001, -0.47073879837989807
22, 2.6430345943995883, -2.3057142857142856, 2.8128381626946584, 2.607354164123535, -0.06, 3.5703907012939453, 3.0501632690429688, -3.23, -0.17258283495903015
23, 2.5802483558654785, -0.9342857142857142, 2.61592059476035, 2.5814638137817383, 1.2, 4.16676139831543, 3.02439022064209, -5.24, 0.2624463140964508
24, 2.549126148223877, -3.785714285714285, 2.8639252867017473, 2.38101863861084, 1.0, 3.1368868350982666, 2.9758248329162598, -5.05, 0.8626804947853088
25, 2.5169979504176547, -1.162857142857143, 2.9960661700793674, 2.1414003372192383, 3.08, 3.139009714126587, 2.8906092643737793, -5.42, 0.4738033413887024
26, 2.509691442762102, 0.5685714285714286, 2.824017677988325, 1.9698066711425781, 7.98, 3.63411283493042, 2.8327431678771973, -4.25, 0.6768460869789124
27, 2.465939998626709, -1.5085714285714291, 3.4095023018973216, 1.9719762802124023, 6.14, 3.2585537433624268, 2.831892967224121, -6.25, 0.23135077953338623
28, 2.390052454812186, -2.1914285714285713, 3.0564755371638705, 1.8958349227905273, -5.68, 2.742602825164795, 2.822904586791992, -8.77, 0.3791038990020752
29, 2.3547050612313405, 1.282857142857143, 3.3145712273461476, 1.8746700286865234, -0.7, 2.7926931381225586, 2.8622593879699707, -2.49, 0.38378602266311646
30, 2.3351291247776578, -2.9657142857142853, 3.4721565757478987, 1.8071937561035156, 4.62, 4.233729839324951, 2.8808817863464355, -1.5, -0.16432540118694305
31, 2.3289742469787598, 2.6571428571428575, 3.642682535307748, 1.7523078918457031, 0.84, 3.277616500854492, 2.8118319511413574, -7.529999999999999, -0.24402013421058655
32, 2.304219586508615, -0.25428571428571434, 3.3282508509499684, 1.7262287139892578, 2.7, 3.4623780250549316, 2.758559226989746, 0.9, 0.0994221568107605
33, 2.292579855237688, -0.925714285714286, 3.630088346345084, 1.6889400482177734, 0.52, 4.064884662628174, 2.7481932640075684, -5.66, -0.16764432191848755
34, 2.2299539702279225, 1.6799999999999997, 3.5766627277646745, 1.6673564910888672, 4.14, 3.7549281120300293, 2.727612018585205, -0.84, 0.6546794474124908
35, 2.226314204079764, 0.92, 3.6155963114329746, 1.6152572631835938, 5.02, 3.991936206817627, 2.7319998741149902, -3.91, 0.24615734815597534
36, 2.299961839403425, -2.4314285714285715, 3.7445456045014516, 1.5970640182495117, 5.4, 4.5334553718566895, 2.7307348251342773, -2.9699999999999998, 0.14944946765899658
37, 2.3341522897992815, -2.5714285714285716, 3.4603012459618703, 1.5512104034423828, 6.52, 3.7603795528411865, 2.731783390045166, -9.29, 1.181216835975647
38, 2.3283510889325822, -0.3171428571428572, 3.67943606206349, 1.5840730667114258, -0.78, 4.075532913208008, 2.7351675033569336, -2.1799999999999997, 0.4833177924156189
39, 2.431802953992571, -0.5914285714285715, 4.3746538162231445, 1.656209945678711, 0.12, 3.8275344371795654, 2.744100570678711, -4.03, 0.10839331150054932
40, 2.553563731057303, -1.9342857142857144, 4.06366583279201, 1.6944503784179688, 1.32, 4.329667568206787, 2.7818002700805664, -5.9399999999999995, 0.15976950526237488
41, 2.599341869354248, -1.6857142857142857, 3.95159113407135, 1.667769432067871, 0.96, 4.155289649963379, 2.7869439125061035, 0.26, -0.19580277800559998
42, 2.5915686062404086, -0.6571428571428573, 3.98493230342865, 1.6590261459350586, 1.16, 4.4258551597595215, 2.817638397216797, -0.9500000000000001, 1.1584213376045227
43, 2.620889186859131, 0.4657142857142857, 4.146382187094007, 1.6593208312988281, 0.56, 3.685781717300415, 2.8441147804260254, -0.92, 0.43057501316070557
44, 2.6218295097351074, -4.5685714285714285, 4.20961931347847, 1.6748828887939453, -3.72, 4.703754901885986, 2.9045801162719727, -1.63, 1.0862318873405457
45, 2.6394756180899486, -1.671428571428572, 3.965696028300694, 1.6988048553466797, 3.22, 4.637835502624512, 2.9630308151245117, -4.12, 0.4632728099822998
